dim,p,n,dofs,L2,H1,L2_order,H1_order,time,residual,boundary
1,1,8,9,0.007937459012880118,0.2513759742124691,0.0,0.0,0.0,3.7226675425529965e-16,0.0
1,1,16,17,0.001983728571146883,0.1258578583952376,2.0004625983588937,0.9980514684867875,0.0,4.680216889057409e-16,0.0
1,1,32,33,0.0004958924755709409,0.06295000572817502,2.000115398820442,0.999516884911448,0.0,8.269666734347845e-16,0.0
1,1,64,65,0.00012397064124809097,0.031477632622428094,2.0000288330356804,0.999879466862997,0.0,1.037158347787528e-15,0.0
1,2,8,17,0.00024576037183695405,0.012748943793290647,0.0,0.0,0.0,5.275901133125508e-16,0.0
1,2,16,33,3.0765819106076316e-05,0.003190619965693381,2.997851995649149,1.998469044894403,0.0,7.691246614135594e-16,0.0
1,2,32,65,3.847157613084303e-06,0.0007978662548011186,2.9994635619054604,1.9996179447563767,0.0,1.493251816743591e-15,0.0
1,2,64,129,4.809393917476521e-07,0.00019947976384847497,2.999865934876682,1.9999045295718634,0.0,1.5669738459207383e-15,0.0
2,1,4,25,0.07415594162239246,0.8426350001764489,0.0,0.0,0.0,2.335182009506025e-16,0.0
2,1,8,81,0.019507688897681418,0.4325293270884017,1.9265194208337402,0.9621098856368949,0.0,6.256486345904394e-16,0.0
2,1,16,289,0.004940228557428991,0.21763587894333863,1.9813931759385621,0.990881540592031,0.0,1.2272333984535749e-15,0.0
2,1,32,1089,0.0012390746453888547,0.10898813326857115,1.9953146868259013,0.9977453539870099,0.0,1.8876857620914818e-15,0.0
2,2,4,81,0.004264311107369017,0.12990787921865563,0.0,0.0,0.0,7.008825543180895e-16,0.0
2,2,8,289,0.0005458036345951287,0.033427048884229,2.9658587883960243,1.9584010393093767,0.0,9.333308104753094e-16,0.0
2,2,16,1089,6.866625268578447e-05,0.008421852475736447,2.990708862912547,1.9888064824884593,0.0,1.7318115069342697e-15,0.0
2,2,32,4225,8.59824505753092e-06,0.00210969921236358,2.9974870996649092,1.9971002810518248,0.0,3.032412453681894e-15,0.0
3,1,2,27,0.23328240662806876,1.5273699843337007,0.0,0.0,0.0,0.0,0.0
3,1,4,125,0.08486969351230253,0.9162543828255194,1.4587561356222485,0.7372294780788883,0.0,2.4473808453535374e-16,0.0
3,1,8,729,0.023577556907725006,0.48022124964211027,1.8478352326287202,0.9320489504817685,0.0,3.3495463982716285e-16,0.0
3,1,16,4913,0.006059806357969513,0.24290230906191096,1.9600706368604817,0.9833230392997524,0.0,5.009874742832421e-16,0.0
3,2,2,125,0.04232952489627554,0.5792543943173095,0.0,0.0,0.0,2.0600932346082045e-16,0.0
3,2,4,729,0.005584453067328665,0.16965621057942243,2.9221763986102776,1.7715828401127314,0.0,4.867654414876932e-16,0.0
3,2,8,4913,0.0007007916997231776,0.0450420311212781,2.9943583996456007,1.9132704527789042,0.0,6.444088341302057e-16,0.0
3,2,16,35937,8.766017002464418e-05,0.011478976745844121,2.9989923053420835,1.9722778420188989,0.0,1.002075864395764e-15,0.0
